자치구,행정동,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,행정동_코드
서대문구,홍제3동,728,0,40,75,158,207,248,11130640
중구,신당5동,705,0,48,168,208,175,106,11020650
영등포구,신길4동,703,0,116,169,184,166,68,11190660
중구,동화동,691,0,112,164,181,149,85,11020730
중랑구,면목7동,690,0,18,91,207,267,107,11070570
성동구,금호4가동,686,0,97,163,188,155,83,11040620
성북구,정릉2동,675,0,92,173,192,156,62,11080630
성북구,정릉1동,672,0,94,143,152,175,108,11080620
강동구,천호3동,670,0,22,72,118,123,335,11250630
도봉구,도봉2동,669,0,16,76,112,174,291,11100650
관악구,대학동,665,0,61,170,209,183,42,11210730
광진구,자양3동,654,0,71,176,190,171,46,11050660
송파구,풍납1동,651,0,62,146,190,192,61,11240510
노원구,상계6?7동,623,0,88,146,161,159,69,11110770
관악구,보라매동,614,0,67,144,154,165,84,11210520
성북구,정릉3동,605,0,77,171,164,133,60,11080640
도봉구,방학3동,578,0,101,132,135,134,76,11100570
관악구,중앙동,558,0,47,98,131,176,106,11210610
강북구,번1동,556,0,43,115,111,162,125,11090600
서대문구,천연동,553,0,36,87,152,203,75,11130520
성동구,응봉동,542,0,131,143,118,96,54,11040580
은평구,응암2동,527,0,45,68,145,161,108,11120600
광진구,능동,522,0,75,126,141,104,76,11050590
관악구,신원동,509,0,10,116,154,148,81,11210650
동대문구,청량리동,506,0,84,162,97,91,72,11060800
노원구,상계3?4동,500,0,2,16,138,223,121,11110760
도봉구,창3동,491,0,0,90,226,166,9,11100610
광진구,중곡3동,484,0,26,128,157,122,51,11050570
양천구,신월6동,475,0,48,89,109,128,101,11150620
종로구,무악동,460,0,132,132,120,52,24,11010570
중랑구,면목4동,446,0,6,57,141,189,53,11070540
성북구,장위1동,409,0,68,87,115,89,50,11080760
동대문구,전농2동,397,0,44,85,106,108,54,11060840
양천구,신정7동,391,0,43,92,119,91,46,11150700
중랑구,중화2동,384,0,4,17,131,95,137,11070620
영등포구,신길3동,382,0,0,39,95,112,136,11190650
강남구,세곡동,379,0,5,66,79,124,105,11230760
용산구,용산2가동,376,0,3,59,159,153,2,11030520
강북구,삼각산동,374,0,65,106,125,56,22,11090730
광진구,자양4동,359,0,0,13,93,115,138,11050670
성북구,길음2동,348,0,21,73,105,113,36,11080680
관악구,난향동,344,0,35,79,102,73,55,11210710
관악구,청림동,344,0,52,114,112,53,13,11210540
성동구,사근동,343,0,6,59,123,113,42,11040550
강북구,송천동,338,0,0,16,46,116,160,11090720
강북구,번2동,295,0,32,30,89,103,41,11090610
서대문구,북가좌1동,291,0,0,5,31,65,190,11130710
강서구,가양3동,265,0,44,58,75,56,32,11160660
도봉구,쌍문4동,265,0,22,64,78,72,29,11100540
강북구,번3동,262,0,26,40,65,77,54,11090620
성동구,금호2?3가동,203,0,11,28,50,53,61,11040720
은평구,수색동,176,0,22,48,43,35,28,11120680
중랑구,망우3동,160,0,0,9,44,68,39,11070680
종로구,숭인1동,143,0,25,33,36,34,15,11010700
강동구,강일동,143,0,18,32,41,36,16,11250750
동대문구,회기동,143,0,17,40,37,30,19,11060710
강북구,삼양동,124,0,3,11,29,39,42,11090690
동대문구,이문2동,119,0,12,27,27,31,22,11060900
동작구,흑석동,91,0,0,22,33,25,11,11200710
종로구,창신3동,69,0,5,20,17,23,4,11010690
종로구,창신2동,63,0,0,9,18,28,8,11010680
노원구,상계10동,55,0,3,8,17,17,10,11110740
성북구,장위3동,31,0,4,6,7,8,6,11080780
노원구,월계2동,29,0,2,7,8,10,2,11110520
강동구,상일1동,1291,0,193,290,316,338,154,11250760
강동구,상일2동,1291,0,193,290,316,338,154,11250770
