자치구,행정동,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드
강동구,천호1동,466659265.2898551,344988473.9710145,121670791.31884058,70789449.69565217,73601365.26086956,64964499.10144927,64043347.69565217,71589812.2173913,70814787.1594203,50856004.15942029,13555330.43478261,59030981.42028985,102123101.98550723,108535226.07246377,147291630.7246377,36122994.65217392,1856239.4927536235,27813114.50724637,69585320.89855072,111783207.7536232,104224242.31884058,135588265.52173913,11250610
동대문구,휘경2동,466254939.0,333164143.52380955,133090795.47619048,69998125.09523809,81775043.90476191,60127374.333333336,76900344.76190476,44363255.42857143,24340118.14285714,108750677.33333331,9895725.666666666,101964634.42857143,149290367.66666666,113740786.76190476,64155921.809523806,27207502.666666668,2175619.6666666665,48342846.333333336,47291988.47619048,69616769.71428572,101637145.14285716,192327514.7142857,11060730
동대문구,답십리1동,466091830.45454544,356018089.27272725,110073741.1818182,68194205.06818181,76949373.04545455,62477622.63636363,76588376.3409091,71808512.18181819,59531048.02272727,50542693.15909091,2862950.113636364,107382919.6818182,119273727.72727272,124889687.47727272,97439744.6590909,14242800.795454543,938806.5,18377514.454545453,49437217.06818182,108391574.11363636,144186230.29545453,91832585.11363636,11060910
성동구,금호4가동,465403500.575,364893883.95,100509616.625,74691674.225,80539894.0,63470757.675,62969933.1,83221624.95,75338484.075,25171132.55,13182153.275,74794169.625,117476165.075,107089367.75,112183603.475,40678041.375,928033.075,29182003.525,78257319.45,84877153.625,109198068.95,143458860.575,11040620
동작구,사당4동,459663668.9019608,353352922.0980392,106310746.80392157,77495260.5490196,74713841.19607843,61044389.09803922,56502187.078431375,83597244.1764706,73979708.7254902,32331038.07843137,5551948.37254902,63545968.25490196,113983407.1764706,122431726.76470588,130508645.2745098,23641973.05882353,1172612.9019607843,26319388.529411763,61423943.078431375,94051836.43137255,100212370.92156865,170016711.29411766,11200660
은평구,응암3동,452116648.3636364,323889514.71428573,128227133.64935064,65584610.03896104,65623703.77922078,59688431.20779221,58934745.02597403,74058024.66233766,78251346.37662338,49975787.27272727,32880172.90909091,55179685.61038961,97476139.64935064,103753055.33766234,114764857.22077924,48062737.63636363,1667280.181818182,29725322.233766235,64364442.11688312,81331283.10389611,116746490.2987013,148199151.58441558,11120730
은평구,녹번동,451946354.5428572,328970135.82857144,122976218.71428572,60873380.885714285,72385992.54285714,58786575.37142857,64786901.942857146,72137285.08571428,78190421.37142856,44785797.342857145,21331301.114285715,22706263.028571427,104173415.25714286,59601439.91428571,175728984.0,68404951.22857143,1479605.3142857142,31561278.714285716,67106502.51428571,92991171.11428572,101217778.34285714,77155887.28571428,11120510
강서구,화곡4동,449660585.5670103,337897439.4329897,111763146.1340206,66354898.48453608,65983088.71134021,59471950.06185568,72386159.84536083,73701342.32989691,72683071.4742268,39080074.65979382,18399015.45360825,46501807.39175258,103575065.43298969,120496923.91752575,124437825.80412371,36249947.56701031,1225312.4742268042,26679289.80412371,65414983.26804124,91111955.98969072,109796777.32989693,132492951.49484536,11160590
성북구,월곡2동,448882423.84615386,355869502.3333333,93012921.51282053,71657651.94871795,74028457.41025642,66692793.94871795,66713619.84615385,76776979.17948718,59589325.71794872,33423595.7948718,9774925.025641026,47053007.71794872,111810020.23076925,105808133.41025642,135187410.43589744,39248927.025641024,4724446.512820513,59087442.38461538,61592252.84615385,74844824.82051282,102547821.33333331,97275391.71794872,11080720
강서구,화곡본동,446229124.9811321,327786678.1886792,118442446.79245284,62948571.905660376,71386594.6226415,60753890.45283019,64035116.43396226,68662504.7735849,74463105.8490566,43979340.94339623,16430567.03773585,37211098.35849056,91703539.2264151,110650040.64150944,144810729.49056605,45423150.2264151,1206593.6226415094,35746550.41509434,91042388.9245283,96839047.0,90254922.9245283,112760763.33962265,11160550
은평구,응암1동,442835522.42391306,344886688.95652175,97948833.4673913,65412043.43478261,80247359.0326087,59143444.68478261,60949680.51086956,79134161.29347827,63579366.01086956,34369467.45652174,7351719.1630434785,58294947.14130435,100666398.1521739,106419320.80434784,133698630.98913044,36404506.17391305,2641740.3695652173,36441524.35869565,63249611.44565217,93818541.19565216,94747031.32608695,85134691.2173913,11120590
용산구,효창동,442683784.4090909,374604643.8636364,68079140.54545455,75192368.68181819,79230646.95454545,70968861.31818181,67584148.0,81628618.9090909,41524364.09090909,26554776.454545453,1235186.2272727273,61318492.09090909,114427385.0,158644698.54545453,92370046.63636364,14687975.909090908,1092995.0454545454,20838440.954545453,63930916.5,104621001.4090909,111984534.86363636,101034122.8181818,11030580
중랑구,면목2동,438370548.2375,327732996.4625,110637551.775,67763130.5125,69428321.85,58893598.8375,60828908.525,70819036.7375,71617523.675,39020028.1,17740594.9375,51453823.6875,102614325.925,98841183.0875,127537720.65,40182899.95,1835740.8875,32577921.1875,74302181.6375,83024285.2875,106718223.2,122639304.45,11070520
동작구,상도1동,436710703.63829786,339322772.5638298,97387931.07446808,62480638.86170213,80320931.29787233,60109684.9893617,65251657.265957445,71159860.14893617,72557325.70212767,24830605.372340426,11234922.489361702,67205749.03191489,110030539.5425532,87670249.65957446,123387113.84042554,37182129.07446808,5926621.574468086,67823401.05319148,59754619.180851065,87088004.25531915,110488958.80851065,68937492.60638298,11200530
노원구,공릉1동,436471695.29565215,320500151.1913043,115971544.10434784,64712016.16521739,67004685.25217392,61769249.97391304,59051507.573913045,67962692.22608696,67601240.11304347,48370303.991304345,17105221.156521738,37769057.44347826,104857676.14782608,107807301.4173913,130167658.06956522,38764781.06086957,1919980.8869565215,39531903.782608695,61905583.52173913,83010304.53913043,108385816.66956522,113113607.85217392,11110790
영등포구,대림1동,435878960.6666667,354962951.24444443,80916009.42222223,76224638.97777778,80543070.73333333,63349814.02222222,68145131.46666667,66700296.04444444,52446594.82222223,28469414.6,6040493.4,95085137.0,116597610.22222222,128316706.82222222,74183059.46666667,15655953.755555555,638652.7777777778,17648247.422222223,52202040.95555556,72884353.46666667,119360301.66666669,166238866.2888889,11190700
